images_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,source domain,target domain,target modality,source modality
Image_(2254).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),1,text dominant,浆,快乐和智慧,text,text
Image_(2255).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,超级,敲,text,text
Image_(2256).jpg,2(love),2(moderately),3(entertaining),0(non-offensive),1,complementary,一举一栋,一举一动,complementary,text
Image_(2257).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,complementary,栋若脱兔,动若脱兔,complementary,text
Image_(2258).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,complementary,一栋不栋,一动不动,complementary,text
Image_(2259).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,complementary,灵机一栋,灵机一动,complementary,text
Image_(226).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,text dominant,无言以对,无盐以对,text,complementary
Image_(2260).jpg,1(happiness),1(slightly),2(expressive),1(slightly),1,complementary,萍易近人,平易近人,complementary,text
Image_(2261).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),1,text dominant,慌,方,text,text
Image_(2262).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,力量,金钱,text,text
Image_(2263).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),1,text dominant,慌,方,text,text
Image_(2264).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,情侣,CP,text,text
Image_(2265).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,我；假期,人；人,text,image
Image_(2266).jpg,6(hate),1(slightly),4(offensive),2(moderately),1,text dominant,样子,货色,text,text
Image_(2267).jpg,4(sorrow),3(very),3(entertaining),0(non-offensive),1,text dominant,围墙,政治,complementary,text
Image_(2268).jpg,3(anger),2(moderately),3(entertaining),0(non-offensive),1,text dominant,围墙,政治,text,text
Image_(2269).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),1,text dominant,影帝,学生,text,text
Image_(227).jpg,2(love),3(very),2(expressive),0(non-offensive),1,image dominant,喂,歪,image,text
Image_(2270).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,complementary,不肤浅,皮肤黑,text,image
Image_(2271).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,特么,TM,text,text
Image_(2272).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,厉害,666,text,text
Image_(2273).jpg,7(surprise),2(moderately),1(interactive),0(non-offensive),1,text dominant,头脑有问题,脑子进水,text,text
Image_(2274).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,complementary,爱情,玫瑰花,text,image
Image_(2275).jpg,2(love),3(very),1(interactive),0(non-offensive),1,complementary,爱情,玫瑰花,text,image
Image_(2276).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,塑料,姐妹关系,text,text
Image_(2277).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,花,心,text,text
Image_(2278).jpg,7(surprise),1(slightly),1(interactive),1(slightly),1,text dominant,大笨猪,大笨居,text,text
Image_(2279).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),1,complementary,大吃一惊,大吃一斤,image,text
Image_(228).jpg,6(hate),1(slightly),4(offensive),2(moderately),1,text dominant,猪,你,text,text
Image_(2280).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,解药,你,text,text
Image_(2281).jpg,2(love),3(very),2(expressive),0(non-offensive),1,text dominant,花,心,text,text
Image_(2282).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,image dominant,鄙视,竖中指,image,image
Image_(2283).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,走了,走辽,text,text
Image_(2284).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,text dominant,路,爱情,text,text
Image_(2285).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),1,complementary,贫穷,吃土,text,image
Image_(2286).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,废物,我,text,text
Image_(2287).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,text dominant,乒乓球最高等级,中国,text,text
Image_(2288).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,工作,搬砖,text,image
Image_(2289).jpg,1(happiness),2(moderately),5(other),0(non-offensive),1,complementary,工作,搬砖,text,image
Image_(229).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,垃圾,猫,text,image
Image_(2290).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,text dominant,小船,友谊,text,text
Image_(2291).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,text dominant,希望,我,text,text
Image_(2292).jpg,7(surprise),2(moderately),3(entertaining),0(non-offensive),1,text dominant,王一博和肖战的情侣名,bjyx,text,text
Image_(2293).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,啦,辣,text,text
Image_(2294).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),1,text dominant,特么的,他吗的,text,text
Image_(2295).jpg,2(love),1(slightly),1(interactive),0(non-offensive),1,text dominant,厉害,666,text,text
Image_(2296).jpg,3(anger),2(moderately),4(offensive),3(very),1,complementary,傻逼,傻蜜蜂,text,complementary
Image_(2297).jpg,3(anger),2(moderately),3(entertaining),0(non-offensive),1,text dominant,王一博和肖战是真情侣,bjyxszd,text,text
Image_(2298).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,爱,肉,text,text
Image_(2299).jpg,7(surprise),2(moderately),1(interactive),1(slightly),1,text dominant,单身的人,单身狗,text,text
Image_(23).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(230).jpg,3(anger),1(slightly),4(offensive),2(moderately),1,complementary,杀心,鲨心,complementary,text
Image_(2300).jpg,2(love),1(slightly),5(other),0(non-offensive),0,,,,,
Image_(2301).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2302).jpg,3(anger),1(slightly),2(expressive),1(slightly),0,,,,,
Image_(2303).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2304).jpg,3(anger),1(slightly),2(expressive),1(slightly),0,,,,,
Image_(2305).jpg,4(sorrow),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(2306).jpg,4(sorrow),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(2307).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2308).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2309).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(231).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,猪,你,text,text
Image_(2310).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2311).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2312).jpg,3(anger),1(slightly),1(interactive),1(slightly),0,,,,,
Image_(2313).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2314).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2315).jpg,6(hate),2(moderately),4(offensive),1(slightly),0,,,,,
Image_(2316).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2317).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2318).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2319).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(232).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,蔡徐坤；吃,葵葵；次,complementary,text
Image_(2320).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2321).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2322).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2323).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2324).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2325).jpg,3(anger),2(moderately),4(offensive),2(moderately),0,,,,,
Image_(2326).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2327).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2328).jpg,3(anger),1(slightly),2(expressive),1(slightly),0,,,,,
Image_(2329).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(233).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),1,text dominant,说废话,王八念经,text,text
Image_(2330).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2331).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2332).jpg,3(anger),1(slightly),1(interactive),1(slightly),0,,,,,
Image_(2333).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2334).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2335).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2336).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2337).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2338).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2339).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(234).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,东西,你,text,text
Image_(2340).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2341).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2342).jpg,3(anger),1(slightly),1(interactive),1(slightly),0,,,,,
Image_(2343).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2344).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2345).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2346).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2347).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2348).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2349).jpg,1(happiness),1(slightly),1(interactive),1(slightly),0,,,,,
Image_(235).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,停,死到普,text,text
Image_(2350).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2351).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2352).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2353).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2354).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2355).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2356).jpg,3(anger),1(slightly),1(interactive),1(slightly),0,,,,,
Image_(2357).jpg,3(anger),2(moderately),2(expressive),1(slightly),0,,,,,
Image_(2358).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2359).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(236).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,什么,屌,text,text
Image_(2360).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2361).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2362).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2363).jpg,3(anger),2(moderately),1(interactive),1(slightly),0,,,,,
Image_(2364).jpg,5(fear),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2365).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2366).jpg,6(hate),2(moderately),4(offensive),2(moderately),0,,,,,
Image_(2367).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2368).jpg,3(anger),1(slightly),3(entertaining),1(slightly),0,,,,,
Image_(2369).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(237).jpg,6(hate),3(very),4(offensive),3(very),1,text dominant,厉害,屌,text,text
Image_(2370).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2371).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2372).jpg,3(anger),3(very),2(expressive),1(slightly),0,,,,,
Image_(2373).jpg,3(anger),2(moderately),2(expressive),1(slightly),0,,,,,
Image_(2374).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2375).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2376).jpg,2(love),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2377).jpg,5(fear),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2378).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2379).jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(238).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,傻瓜,傻叉,text,complementary
Image_(2380).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2381).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2382).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2383).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2384).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2385).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2386).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2387).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2388).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2389).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(239).jpg,6(hate),3(very),4(offensive),3(very),1,text dominant,贱货,你,text,text
Image_(2390).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2391).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2392).jpg,6(hate),2(moderately),4(offensive),1(slightly),0,,,,,
Image_(2393).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2394).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2395).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2396).jpg,7(surprise),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2397).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2398).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2399).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(24).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,image dominant,蜜蜂,猫,image,image
Image_(240).jpg,3(anger),1(slightly),1(interactive),1(slightly),1,complementary,你,鸟,text,image
Image_(2400).jpg,6(hate),3(very),1(interactive),3(very),0,,,,,
Image_(2401).jpg,3(anger),2(moderately),4(offensive),2(moderately),0,,,,,
Image_(2402).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2403).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2404).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2405).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2406).jpg,6(hate),2(moderately),4(offensive),1(slightly),0,,,,,
Image_(2407).jpg,5(fear),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2408).jpg,4(sorrow),2(moderately),1(interactive),1(slightly),0,,,,,
Image_(2409).jpg,2(love),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(241).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,text dominant,约,泡,text,text
Image_(2410).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2411).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2412).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2413).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2414).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2415).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2416).jpg,4(sorrow),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2417).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2418).jpg,1(happiness),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2419).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(242).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,垃圾；砖头迫不及待打你,辣鸡；砖头饥渴难耐,text,text
Image_(2420).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2421).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2422).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2423).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2424).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),0,,,,,
Image_(2425).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2426).jpg,6(hate),3(very),4(offensive),3(very),0,,,,,
Image_(2427).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2428).jpg,6(hate),2(moderately),2(expressive),1(slightly),0,,,,,
Image_(2429).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(243).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,妈逼,麻痹,text,text
Image_(2430).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2431).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2432).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2433).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2434).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2435).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2436).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2437).jpg,2(love),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2438).jpg,3(anger),2(moderately),2(expressive),2(moderately),0,,,,,
Image_(2439).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(244).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,妈逼,麻痹,text,text
Image_(2440).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2441).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2442).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2443).jpg,5(fear),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2444).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2445).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2446).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2447).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2448).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2449).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(245).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,爱财,拜金,complementary,text
Image_(2450).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2451).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2452).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,
Image_(2453).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2454).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2455).jpg,5(fear),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2456).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2457).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2458).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2459).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(246).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,text dominant,欠揍,欠盘,text,text
Image_(2460).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2461).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2462).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2463).jpg,1(happiness),2(moderately),2(expressive),2(moderately),0,,,,,
Image_(2464).jpg,5(fear),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2465).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2466).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2467).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2468).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2469).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(247).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),1,text dominant,我,爷,text,text
Image_(2470).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2471).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2472).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2473).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2474).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2475).jpg,6(hate),2(moderately),2(expressive),1(slightly),0,,,,,
Image_(2476).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2477).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2478).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2479).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(248).jpg,6(hate),1(slightly),1(interactive),1(slightly),1,text dominant,谈恋爱时的备选项,备,text,text
Image_(2480).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2481).jpg,3(anger),2(moderately),1(interactive),1(slightly),0,,,,,
Image_(2482).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2483).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2484).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2485).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2486).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2487).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2488).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2489).jpg,6(hate),2(moderately),1(interactive),1(slightly),0,,,,,
Image_(249).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),1,text dominant,谈恋爱时的备选项群体,鱼塘,text,text
Image_(2490).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2491).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2492).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2493).jpg,6(hate),2(moderately),4(offensive),2(moderately),0,,,,,
Image_(2494).jpg,3(anger),2(moderately),4(offensive),1(slightly),0,,,,,
Image_(2495).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2496).jpg,6(hate),2(moderately),4(offensive),2(moderately),0,,,,,
Image_(2497).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2498).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2499).jpg,3(anger),2(moderately),4(offensive),0(non-offensive),0,,,,,
Image_(25).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,吧,8,text,text
Image_(250).jpg,2(love),2(moderately),1(interactive),0(non-offensive),1,text dominant,姐妹,集美,text,text
Image_(2500).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2501).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2502).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2503).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2504).jpg,3(anger),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2505).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2506).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2507).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2508).jpg,3(anger),2(moderately),2(expressive),1(slightly),0,,,,,
Image_(2509).jpg,2(love),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(251).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,公主,男生,text,image
Image_(2510).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2511).jpg,2(love),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(2512).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2513).jpg,4(sorrow),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2514).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2515).jpg,3(anger),3(very),2(expressive),0(non-offensive),0,,,,,
Image_(2516).jpg,2(love),3(very),1(interactive),0(non-offensive),0,,,,,
Image_(2517).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,
Image_(2518).jpg,2(love),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2519).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,
Image_(252).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,拜拜,88,complementary,text
Image_(2520).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,
Image_(2521).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,
Image_(2522).jpg,6(hate),2(moderately),1(interactive),1(slightly),0,,,,,
Image_(2523).jpg,4(sorrow),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2524).jpg,6(hate),2(moderately),1(interactive),0(non-offensive),0,,,,,
Image_(2525).jpg,7(surprise),2(moderately),1(interactive),0(non-offensive),0,,,,,
